id,text,vertical_id,query_type,complexity,status,search_context_size,prompt_tokens,completion_tokens,total_tokens,request_cost,total_cost,processed_at,error_message,retry_count,created_at,updated_at,vertical_name,vertical_category,response_content_length
1,How to implement mobile payments strategy?,2,how_to,simple,completed,low,7.0,496.0,503.0,0.005,0.005503,2025-08-07 00:13:28.048899,,0,2025-08-07 00:13:02,2025-08-07 00:13:28,fintech,Finance,2609.0
2,Ultimate ethereum tutorial,2,guide,medium,completed,low,4.0,632.0,636.0,0.005,0.005636,2025-08-07 00:13:35.965960,,0,2025-08-07 00:13:02,2025-08-07 00:13:35,fintech,Finance,3034.0
3,Top comprehensive peer-to-peer payments in 2024,2,best,complex,completed,low,10.0,497.0,507.0,0.005,0.005507,2025-08-07 00:13:41.886283,,0,2025-08-07 00:13:02,2025-08-07 00:13:41,fintech,Finance,2306.0
4,Comprehensive digital wallets resource,2,guide,complex,completed,low,5.0,675.0,680.0,0.005,0.00568,2025-08-07 00:15:32.193118,,0,2025-08-07 00:13:02,2025-08-07 00:15:32,fintech,Finance,3163.0
5,How does ethereum work for e-commerce?,2,how_to,medium,completed,low,8.0,399.0,407.0,0.005,0.005407,2025-08-07 00:15:37.270870,,0,2025-08-07 00:13:02,2025-08-07 00:15:37,fintech,Finance,2140.0
6,peer-to-peer payments guide for beginners,2,guide,simple,completed,low,7.0,620.0,627.0,0.005,0.005627,2025-08-07 00:15:48.028746,,0,2025-08-07 00:13:02,2025-08-07 00:15:48,fintech,Finance,2558.0
7,Comprehensive payment processing resource,2,guide,medium,completed,low,5.0,537.0,542.0,0.005,0.005542,2025-08-07 00:16:01.414320,,0,2025-08-07 00:13:02,2025-08-07 00:16:01,fintech,Finance,2883.0
8,Comparing digital payments solutions for beginners,2,comparison,simple,completed,low,7.0,617.0,624.0,0.005,0.005624,2025-08-07 00:16:07.774112,,0,2025-08-07 00:13:02,2025-08-07 00:16:07,fintech,Finance,3113.0
9,Top 12 payment processing in 2024,2,best,medium,completed,low,9.0,392.0,401.0,0.005,0.005401,2025-08-07 00:16:13.333301,,0,2025-08-07 00:13:02,2025-08-07 00:16:13,fintech,Finance,1916.0
10,Best digital payments tools for beginners,2,best,simple,completed,low,6.0,316.0,322.0,0.005,0.005322,2025-08-07 00:16:18.168722,,0,2025-08-07 00:13:02,2025-08-07 00:16:18,fintech,Finance,1546.0
11,AI guide for beginners,10,guide,simple,completed,low,4.0,385.0,389.0,0.005,0.005389,2025-08-07 00:16:23.088512,,0,2025-08-07 00:15:03,2025-08-07 00:16:23,ai_ml,Technology,1934.0
12,In-depth {product} analysis,10,review,medium,completed,low,6.0,611.0,617.0,0.005,0.005617,2025-08-07 00:16:29.950639,,0,2025-08-07 00:15:03,2025-08-07 00:16:29,ai_ml,Technology,3182.0
13,What's the best large language models software?,10,best,medium,completed,low,9.0,429.0,438.0,0.005,0.005438,2025-08-07 00:16:40.958948,,0,2025-08-07 00:15:03,2025-08-07 00:16:40,ai_ml,Technology,1770.0
14,User reviews of {platform},10,review,simple,completed,low,6.0,589.0,595.0,0.005,0.005595,2025-08-07 00:16:48.076816,,0,2025-08-07 00:15:03,2025-08-07 00:16:48,ai_ml,Technology,3044.0
15,computer vision reviews and ratings,10,review,simple,completed,low,5.0,215.0,220.0,0.005,0.00522,2025-08-07 00:16:52.121732,,0,2025-08-07 00:15:03,2025-08-07 00:16:52,ai_ml,Technology,1255.0
16,User reviews of {platform},10,review,medium,completed,low,6.0,548.0,554.0,0.005,0.005554,2025-08-07 00:17:00.247061,,0,2025-08-07 00:15:03,2025-08-07 00:17:00,ai_ml,Technology,2472.0
17,{product} review: is it worth it?,10,review,simple,completed,low,10.0,280.0,290.0,0.005,0.00529,2025-08-07 00:17:04.132468,,0,2025-08-07 00:15:03,2025-08-07 00:17:04,ai_ml,Technology,1378.0
18,How to implement machine learning strategy?,10,how_to,simple,completed,low,7.0,416.0,423.0,0.005,0.005423,2025-08-07 00:17:12.370947,,0,2025-08-07 00:15:03,2025-08-07 00:17:12,ai_ml,Technology,2380.0
19,ChatGPT guide for beginners,10,guide,medium,completed,low,6.0,418.0,424.0,0.005,0.005424,2025-08-07 00:19:19.428776,,0,2025-08-07 00:15:03,2025-08-07 00:19:19,ai_ml,Technology,1989.0
20,Difference between {concept_a} and {concept_b},10,comparison,medium,completed,low,11.0,401.0,412.0,0.005,0.005412,2025-08-07 00:19:27.251346,,0,2025-08-07 00:15:03,2025-08-07 00:19:27,ai_ml,Technology,2111.0
21,How to implement ChatGPT strategy?,10,how_to,medium,completed,low,8.0,459.0,467.0,0.005,0.005467,2025-08-07 00:19:40.805856,,0,2025-08-07 00:15:03,2025-08-07 00:19:40,ai_ml,Technology,2475.0
22,Top 12 large language models in 2024,10,best,medium,completed,low,10.0,864.0,874.0,0.005,0.005874,2025-08-07 00:19:49.550734,,0,2025-08-07 00:15:03,2025-08-07 00:19:49,ai_ml,Technology,3118.0
23,natural language processing guide for beginners,10,guide,complex,completed,low,6.0,456.0,462.0,0.005,0.005462,2025-08-07 00:19:56.983585,,0,2025-08-07 00:15:03,2025-08-07 00:19:56,ai_ml,Technology,2234.0
24,natural language processing reviews and ratings,10,review,simple,completed,low,6.0,506.0,512.0,0.005,0.005512,2025-08-07 00:20:02.797625,,0,2025-08-07 00:15:03,2025-08-07 00:20:02,ai_ml,Technology,2455.0
25,User reviews of artificial intelligence,10,review,complex,completed,low,5.0,298.0,303.0,0.005,0.005303,2025-08-07 00:20:08.666890,,0,2025-08-07 00:15:03,2025-08-07 00:20:08,ai_ml,Technology,1540.0
26,computer vision best practices guide,10,guide,medium,completed,low,5.0,527.0,532.0,0.005,0.005532,2025-08-07 00:20:13.788033,,0,2025-08-07 00:15:03,2025-08-07 00:20:13,ai_ml,Technology,2723.0
27,How to choose the right computer vision?,10,how_to,complex,completed,low,8.0,259.0,267.0,0.005,0.005267,2025-08-07 00:20:18.060096,,0,2025-08-07 00:15:03,2025-08-07 00:20:18,ai_ml,Technology,1448.0
28,Complete guide to large language models,10,guide,complex,completed,low,6.0,616.0,622.0,0.005,0.005622,2025-08-07 00:20:27.842022,,0,2025-08-07 00:15:03,2025-08-07 00:20:27,ai_ml,Technology,3264.0
29,How to choose the right natural language processing?,10,how_to,simple,completed,low,9.0,601.0,610.0,0.005,0.00561,2025-08-07 00:20:40.842261,,0,2025-08-07 00:15:03,2025-08-07 00:20:40,ai_ml,Technology,2841.0
30,Best AI tools for beginners,10,best,simple,completed,low,5.0,385.0,390.0,0.005,0.00539,2025-08-07 00:20:48.304379,,0,2025-08-07 00:15:03,2025-08-07 00:20:48,ai_ml,Technology,1780.0
31,Comprehensive ChatGPT resource,10,guide,medium,completed,low,6.0,453.0,459.0,0.005,0.005459,2025-08-07 00:20:53.689884,,0,2025-08-07 00:15:03,2025-08-07 00:20:53,ai_ml,Technology,2098.0
32,In-depth {product} analysis,10,review,simple,completed,low,6.0,439.0,445.0,0.005,0.005445,2025-08-07 00:20:58.635932,,0,2025-08-07 00:15:03,2025-08-07 00:20:58,ai_ml,Technology,2537.0
33,How to choose the right computer vision?,10,how_to,complex,completed,low,8.0,299.0,307.0,0.005,0.005307,2025-08-07 00:21:02.534045,,0,2025-08-07 00:15:03,2025-08-07 00:21:02,ai_ml,Technology,1672.0
34,Complete guide to artificial intelligence,10,guide,simple,completed,low,5.0,382.0,387.0,0.005,0.005387,2025-08-07 00:21:10.520095,,0,2025-08-07 00:15:03,2025-08-07 00:21:10,ai_ml,Technology,2169.0
35,{product} review: is it worth it?,10,review,medium,processing,,,,,,,,,0,2025-08-07 00:15:03,2025-08-07 00:21:10,ai_ml,Technology,
36,Comprehensive digital marketing resource,15,guide,simple,completed,low,5.0,442.0,447.0,0.005,0.005447,2025-08-07 00:23:48.690531,,0,2025-08-07 00:15:08,2025-08-07 00:23:48,marketing,Business,2266.0
37,content marketing best practices guide,15,guide,simple,completed,low,5.0,496.0,501.0,0.005,0.005501,2025-08-07 00:24:03.372157,,0,2025-08-07 00:15:08,2025-08-07 00:24:03,marketing,Business,2438.0
38,How to get started with email marketing?,15,how_to,medium,completed,low,8.0,662.0,670.0,0.005,0.00567,2025-08-07 00:24:10.786583,,0,2025-08-07 00:15:08,2025-08-07 00:24:10,marketing,Business,2851.0
39,Best analytics tools for consultants,15,best,medium,completed,low,5.0,450.0,455.0,0.005,0.005455,2025-08-07 00:24:35.470942,,0,2025-08-07 00:15:08,2025-08-07 00:24:35,marketing,Business,2405.0
