domain,authority_score,authority_rank,total_citations,unique_verticals,first_position_citations,direct_quotes,category,citation_frequency_score,cross_vertical_score,first_position_score,direct_quote_score,query_diversity_score,temporal_consistency_score
youtube.com,66.94145609206905,1,1142,23,238,191,commercial,100.0,100.0,20.84063047285464,16.72504378283713,100.0,30.0
en.wikipedia.org,52.109705543046175,2,144,23,123,35,government,12.609457092819614,100.0,85.41666666666666,24.305555555555554,80.0,30.0
docs.saleshunterthemes.com,50.12197372667182,3,60,21,56,53,commercial,5.253940455341506,91.30434782608695,93.33333333333333,88.33333333333333,20.0,30.0
uxcam.com,47.65071303477608,4,125,23,70,10,commercial,10.945709281961472,100.0,56.00000000000001,8.0,100.0,30.0
socialpilot.co,47.516387290467854,5,128,23,116,18,commercial,11.208406304728546,100.0,90.625,14.0625,40.0,30.0
duocircle.com,46.55005306775113,6,49,22,38,21,commercial,4.2907180385288965,95.65217391304348,77.55102040816327,42.857142857142854,40.0,30.0
shopify.com,46.41271714655557,7,161,23,23,58,commercial,14.098073555166375,100.0,14.285714285714285,36.024844720496894,100.0,30.0
launchnotes.com,46.17952058934712,8,137,23,53,13,commercial,11.996497373029772,100.0,38.68613138686132,9.48905109489051,100.0,30.0
prodpad.com,46.05342757067801,9,100,23,37,86,commercial,8.756567425569177,100.0,37.0,86.0,40.0,30.0
ftc.gov,44.311325743215704,10,229,23,12,15,government,20.052539404553414,100.0,5.240174672489083,6.550218340611353,100.0,30.0
djholtlaw.com,43.31144554067725,11,67,22,67,0,commercial,5.866900175131348,95.65217391304348,100.0,0.0,20.0,30.0
thegood.com,43.280147610708035,12,96,23,0,84,commercial,8.40630472854641,100.0,0.0,87.5,60.0,30.0
heartstringspethospice.com,40.973536806096014,13,66,22,50,4,commercial,5.779334500875657,95.65217391304348,75.75757575757575,6.0606060606060606,20.0,30.0
chicanemotorsportservice.com,40.70347960245546,14,48,19,48,2,commercial,4.203152364273205,82.6086956521739,100.0,4.166666666666666,20.0,30.0
webstacks.com,40.55255864975655,15,91,23,1,79,commercial,7.968476357267951,100.0,1.098901098901099,86.81318681318682,40.0,30.0
nerdwallet.com,39.66820767749726,16,350,12,76,41,commercial,30.64798598949212,52.17391304347826,21.714285714285715,11.714285714285715,100.0,30.0
thecxlead.com,39.659809177271306,17,103,23,21,33,commercial,9.019264448336251,100.0,20.388349514563107,32.038834951456316,40.0,30.0
g2.com,39.60175965307314,18,225,23,11,18,commercial,19.702276707530647,100.0,4.888888888888889,8.0,60.0,30.0
learn.microsoft.com,37.29998140898163,19,77,16,8,33,commercial,6.742556917688266,69.56521739130434,10.38961038961039,42.857142857142854,80.0,30.0
alltekservices.com,37.1879917843521,20,22,14,20,7,commercial,1.926444833625219,60.86956521739131,90.9090909090909,31.818181818181817,20.0,30.0
indeed.com,36.63771432581256,21,51,14,14,7,commercial,4.46584938704028,60.86956521739131,27.450980392156865,13.725490196078432,100.0,30.0
qualtrics.com,36.55298856031788,22,127,23,0,8,commercial,11.120840630472854,100.0,0.0,6.299212598425196,60.0,30.0
arrowheadmb.com,36.48161483431415,23,90,22,42,6,commercial,7.880910683012258,95.65217391304348,46.666666666666664,6.666666666666667,20.0,30.0
frase.io,36.28011225810662,24,4,4,4,4,commercial,0.3502626970227671,17.391304347826086,100.0,100.0,20.0,30.0
hbr.org,36.06479859894922,25,140,23,0,8,government,12.259194395796849,100.0,0.0,5.714285714285714,60.0,30.0
cnet.com,36.05931803925408,26,138,15,17,4,commercial,12.084063047285463,65.21739130434783,12.318840579710146,2.898550724637681,100.0,30.0
microsoft.com,35.76088868364053,27,99,22,0,6,commercial,8.669001751313484,95.65217391304348,0.0,6.0606060606060606,60.0,30.0
metlife.com,35.62763376880486,28,2,1,2,2,commercial,0.17513134851138354,4.3478260869565215,100.0,100.0,40.0,30.0
destinationthink.com,35.605742350240945,79,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
setforset.com,35.605742350240945,78,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
ascend.bank,35.605742350240945,77,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
stratechi.com,35.605742350240945,76,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
rd.usda.gov,35.605742350240945,75,1,1,1,1,government,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
bateswhite.com,35.605742350240945,74,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
scarincihollenbeck.com,35.605742350240945,73,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
wealtharc.com,35.605742350240945,72,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
higginbotham.com,35.605742350240945,71,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
espn.com,35.605742350240945,70,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
blog.csa360software.com,35.605742350240945,69,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
apps.it.purdue.edu,35.605742350240945,68,1,1,1,1,academic,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
am.landg.com,35.605742350240945,67,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
moneycrashers.com,35.605742350240945,66,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
colibrirealestate.com,35.605742350240945,65,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
ceoworld.biz,35.605742350240945,64,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
medtecheurope.org,35.605742350240945,63,1,1,1,1,government,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
opsdog.com,35.605742350240945,62,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
allergyasthmanetwork.org,35.605742350240945,61,1,1,1,1,government,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
mindvalley.com,35.605742350240945,60,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
unlockfood.ca,35.605742350240945,59,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
studocu.com,35.605742350240945,58,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
gardenoflifecanada.com,35.605742350240945,57,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
dr-muscle.com,35.605742350240945,56,1,1,1,1,commercial,0.08756567425569177,4.3478260869565215,100.0,100.0,20.0,50.0
