vertical_name,total_citations,unique_domains,avg_position,direct_quotes
ai_ml,1102,395,2.970961887477314,93
banking,982,371,2.984725050916497,165
booking,993,404,2.985901309164149,79
cloud,1119,355,2.9892761394101877,100
cybersecurity,1047,382,2.994269340974212,90
ecommerce,1040,380,2.9903846153846154,95
fashion,988,437,2.9959514170040484,109
fintech,1043,415,2.987535953978907,139
fitness,1059,441,2.979225684608121,109
food,977,427,2.9580348004094166,79
home_improvement,987,465,2.973657548125633,60
insurance,996,410,2.9919678714859437,105
investing,998,312,2.995991983967936,194
marketing,1066,449,2.99343339587242,60
medical,1064,499,2.988721804511278,140
mental_health,1090,391,2.9908256880733943,115
mobile_apps,1121,361,2.992863514719001,104
nutrition,1084,417,2.981549815498155,172
product_reviews,989,469,2.980788675429727,94
saas,1048,458,2.99618320610687,80
startups,1121,464,2.992863514719001,109
trading,989,317,2.9777553083923154,112
travel,1033,419,2.979670861568248,63
